hotspot_id,project_id,centroid_lat,centroid_lon,patch_count,mean_cnn_score,max_cnn_score,cnn_score_percentile,ndvi_change,ndvi_evidence,dynamic_world_evidence,temporal_evidence,spatial_evidence,feature10_evidence_class,priority_level,priority_score,evidence_summary,recommended_action
MH-002-HS-0020,MH-002,19.591044,80.352506,2,0.4054,0.4074,96.25,0.0714,0,0,Assessed via F10 NDVI change,2,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,12.1,CNN max 0.41 (96.3th pct) over 2 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-003-HS-0049,MH-003,18.91441,73.49845,4,0.1669,0.189,59.08,0.0656,0,0,Assessed via F10 NDVI change,4,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,11.8,CNN max 0.19 (59.1th pct) over 4 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0004,MH-001,21.178097,78.926475,3,0.2537,0.2816,86.41,0.0373,0,0,Assessed via F10 NDVI change,3,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,11.6,CNN max 0.28 (86.4th pct) over 3 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-002-HS-0024,MH-002,19.587001,80.344892,4,0.1374,0.1624,41.03,0.0302,0,0,Assessed via F10 NDVI change,4,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,11.2,CNN max 0.16 (41.0th pct) over 4 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0054,MH-001,21.145219,78.933392,3,0.2048,0.2393,79.36,0.0325,0,0,Assessed via F10 NDVI change,3,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,10.8,CNN max 0.24 (79.4th pct) over 3 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0030,MH-001,21.154382,78.938063,3,0.22,0.2345,78.13,0.0274,0,0,Assessed via F10 NDVI change,3,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,10.7,CNN max 0.23 (78.1th pct) over 3 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-003-HS-0044,MH-003,18.938597,73.467188,4,0.1196,0.1363,22.29,0.048,0,0,Assessed via F10 NDVI change,4,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,10.7,CNN max 0.14 (22.3th pct) over 4 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-003-HS-0055,MH-003,18.911446,73.503098,4,0.1199,0.1331,20.55,0.0516,0,0,Assessed via F10 NDVI change,4,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,10.7,CNN max 0.13 (20.6th pct) over 4 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-002-HS-0026,MH-002,19.586822,80.346532,3,0.1895,0.2159,72.24,0.0226,0,0,Assessed via F10 NDVI change,3,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,10.3,CNN max 0.22 (72.2th pct) over 3 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0056,MH-001,21.1445,78.926385,3,0.1825,0.1895,59.49,0.0273,0,0,Assessed via F10 NDVI change,3,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,9.8,CNN max 0.19 (59.5th pct) over 3 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0067,MH-001,21.137404,78.933482,3,0.1685,0.1872,58.02,0.0533,0,0,Assessed via F10 NDVI change,3,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,9.7,CNN max 0.19 (58.0th pct) over 3 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-002-HS-0003,MH-002,19.615702,80.334854,2,0.2338,0.2751,85.57,0.0111,0,0,Assessed via F10 NDVI change,2,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,9.5,CNN max 0.28 (85.6th pct) over 2 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-002-HS-0001,MH-002,19.618263,80.34186,1,0.3611,0.3611,93.74,0.0662,0,0,Assessed via F10 NDVI change,1,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,9.2,CNN max 0.36 (93.7th pct) over 1 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0023,MH-001,21.163275,78.92634,2,0.2354,0.2361,78.57,0.168,0,0,Assessed via F10 NDVI change,2,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,8.7,CNN max 0.24 (78.6th pct) over 2 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0034,MH-001,21.153304,78.931461,2,0.2145,0.2196,73.63,0.066,0,0,Assessed via F10 NDVI change,2,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,8.4,CNN max 0.22 (73.6th pct) over 2 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
